created_at;account.id;in_reply_to_account_id;
2018-05-04T08:03:42.000Z;3636;-1;
2018-05-04T07:20:56.000Z;3276;-1;
2018-05-04T07:18:14.589Z;546;-1;
2018-05-04T07:17:28.000Z;2229;-1;
2018-05-04T07:10:36.000Z;1257;-1;
2018-05-04T07:08:28.298Z;159;-1;
2018-05-04T07:04:40.875Z;101;101;
2018-05-04T07:03:47.548Z;101;-1;
2018-05-04T06:47:0600Z;647;647;
2018-05-04T06:45:17.000Z;647;-1;
2018-05-04T06:27:37.343Z;101;-1;
2018-05-04T06:26:0200Z;356;356;
2018-05-04T06:16:41.000Z;356;-1;
2018-05-04T06:03:05.000Z;3517;-1;
2018-05-04T06:00:45.462Z;159;-1;
2018-05-04T05:57:1400Z;1582;1582;
2018-05-04T05:55:11.000Z;1582;-1;
2018-05-04T05:48:59.414Z;570;-1;
2018-05-04T05:16:50.000Z;533;-1;
2018-05-04T04:59:35.685Z;568;-1;
2018-05-04T04:57:20.000Z;1200;-1;
2018-05-04T04:44:19.970Z;101;-1;
2018-05-04T04:35:53.000Z;721;-1;
2018-05-04T04:26:36.188Z;544;-1;
2018-05-04T04:15:04.000Z;3574;-1;
2018-05-04T04:12:03.638Z;159;-1;
2018-05-04T04:00:58.721Z;159;-1;
2018-05-04T03:56:22.000Z;3623;-1;
2018-05-04T03:47:40.696Z;544;-1;
2018-05-04T03:47:17.000Z;3621;-1;
2018-05-04T03:27:47.000Z;3620;-1;
2018-05-04T03:26:57.000Z;2663;-1;
2018-05-04T03:17:39.000Z;600;-1;
2018-05-04T03:12:06.107Z;182;-1;
2018-05-04T03:10:49.000Z;654;-1;
2018-05-04T03:07:23.000Z;582;-1;
2018-05-04T03:04:52.000Z;3637;-1;
2018-05-04T03:03:25.000Z;3505;-1;
2018-05-04T03:02:48.000Z;3618;-1;
2018-04-12T23:19:29.000Z;600;-1;
2018-04-12T23:18:55.000Z;1922;-1;
2018-04-12T23:18:43.000Z;1921;-1;
2018-04-12T23:16:16.000Z;1920;-1;
2018-04-12T23:16:10.000Z;295;-1;
2018-04-12T23:15:38.269Z;1336;1336;
2018-04-12T23:14:52.460Z;1336;-1;
2018-04-12T23:13:53.000Z;636;-1;
2018-04-12T23:04:58.262Z;487;487;
2018-04-12T23:04:52.000Z;632;-1;
2018-04-12T22:50:41.647Z;390;-1;
2018-04-12T22:50:18.000Z;1215;-1;
2018-04-12T22:48:45.000Z;1178;-1;
2018-04-12T22:47:27.339Z;487;-1;
2018-04-12T22:43:52.478Z;182;-1;
