created_at;account.id;in_reply_to_account_id;;;
2016-12-22T11:02:1100Z;571;-1;;;
2017-02-20T23:39:3700Z;571;-1;;;
2017-04-05T05:52:4800Z;857;-1;;;
2017-04-05T10:18:3400Z;2357;-1;;;
2017-04-05T11:14:5700Z;2235;-1;;;
2017-04-08T12:43:1700Z;571;-1;;;
2017-04-11T01:19:1700Z;2004;-1;;;
2017-04-11T01:24:2000Z;2004;2004;;;
2017-04-11T16:38:4600Z;571;-1;;;
2017-04-11T18:24:4500Z;159;-1;;;
2017-04-12T06:55:5400Z;1102;-1;;;
2017-04-12T21:18:4800Z;3110;-1;;;
2017-04-17T16:18:4300Z;1034;-1;;;
2017-04-24T00:49:4700Z;159;-1;;;
2017-05-01T16:16:1100Z;2900;-1;;;
2017-05-03T11:33:5500Z;1562;-1;;;
2017-05-07T18:10:1700Z;3517;-1;;;
2017-05-07T19:17:3600Z;4;-1;;;
2017-05-09T00:00:3900Z;571;-1;;;
2017-05-10T07:32:1600Z;3343;-1;;;
2017-05-12T20:48:5700Z;1170;-1;;;
2017-05-16T21:24:2300Z;2900;-1;;;
2017-05-20T22:03:0100Z;159;-1;;;
2017-05-21T08:56:0000Z;6;-1;;;
2017-05-22T10:47:2100Z;960;-1;;;
2017-05-22T12:58:3500Z;960;960;;;
2017-05-23T08:47:3100Z;85;-1;;;
2017-05-26T01:35:1700Z;551;-1;;;
2017-05-27T23:18:4400Z;6;-1;;;
2017-06-01T10:56:1100Z;409;-1;;;
2017-06-13T14:17:0900Z;2321;-1;;;
2017-06-14T18:32:1500Z;1532;-1;;;
2017-06-17T13:37:0700Z;1145;-1;;;
2017-06-17T19:19:4800Z;4;-1;;;
2017-06-21T15:00:4800Z;544;-1;;;
2017-06-24T10:36:1400Z;3517;-1;;;
2017-06-28T05:13:4700Z;652;-1;;;
2017-07-03T14:32:3500Z;2672;-1;;;
2017-07-05T15:46:5400Z;571;-1;;;
2017-07-16T18:24:2500Z;1500;-1;;;
2017-07-17T19:24:5400Z;159;-1;;;
2017-07-17T23:37:3200Z;159;-1;;;
2017-07-18T02:02:3700Z;159;-1;;;
2017-07-18T12:51:2200Z;159;-1;;;
2017-07-18T12:51:5600Z;159;159;;;
2017-07-18T13:40:0700Z;159;-1;;;
2017-07-18T21:16:2800Z;2478;-1;;;
2017-07-19T16:37:3900Z;159;-1;;;
2017-07-19T17:04:0700Z;159;-1;;;
2017-07-19T17:12:1300Z;159;-1;;;
2017-07-21T02:40:2800Z;933;-1;;;
2017-07-21T06:40:1900Z;159;-1;;;
2017-07-22T10:50:4000Z;6;-1;;;
2017-07-22T14:39:0600Z;159;-1;;;
2017-07-22T14:42:3000Z;159;159;;;
2017-07-22T15:25:3200Z;159;159;;;
2017-07-23T17:25:5000Z;2315;-1;;;
2017-07-24T13:48:1200Z;2315;2315;;;
2017-07-26T02:19:1800Z;159;-1;;;
2017-08-01T15:58:0100Z;1170;-1;;;
2017-08-04T03:34:3800Z;1923;-1;;;
2017-08-06T15:05:0100Z;1408;-1;;;
2017-08-10T09:46:2800Z;1996;-1;;;
2017-08-16T12:15:0300Z;2306;-1;;;
2017-08-19T07:33:1500Z;832;-1;;;
2017-08-19T21:42:4400Z;758;-1;;;
2017-08-20T09:03:2300Z;3253;-1;;;
2017-08-20T09:07:2700Z;3253;-1;;;
2017-08-21T16:07:3100Z;1170;-1;;;
2017-08-22T22:07:2200Z;3794;-1;;;
2017-08-24T20:46:2300Z;620;-1;;;
2017-08-27T20:59:0900Z;775;-1;;;
2017-08-28T14:51:2000Z;652;-1;;;
2017-08-28T20:40:1000Z;652;-1;;;
2017-08-29T05:44:3200Z;2306;-1;;;
2017-08-30T01:04:3100Z;1014;-1;;;
2017-08-30T11:49:2200Z;571;-1;;;
2017-08-31T04:55:5400Z;2431;-1;;;
2017-09-01T21:14:2500Z;2267;-1;;;
2017-09-02T15:24:0300Z;571;571;;;
2017-09-02T16:12:0200Z;1634;-1;;;
2017-09-02T19:10:5400Z;775;-1;;;
2017-09-02T23:14:4100Z;80;-1;;;
2017-09-03T10:09:0900Z;168;-1;;;
2017-09-03T11:48:5200Z;2807;-1;;;
2017-09-03T12:40:1500Z;1636;-1;;;
2017-09-03T14:27:4900Z;1639;-1;;;
2017-09-04T14:51:3100Z;215;-1;;;
2017-09-04T16:01:2200Z;861;-1;;;
2017-09-05T02:13:0000Z;1475;-1;;;
2017-09-05T22:14:1700Z;211;-1;;;
2017-09-06T11:24:1500Z;968;-1;;;
2017-09-06T14:29:3700Z;1136;-1;;;
2017-09-07T07:30:1000Z;499;-1;;;
2017-09-07T17:08:5900Z;571;-1;;;
2017-09-07T23:05:3700Z;2315;-1;;;
2017-09-09T17:32:4400Z;1256;-1;;;
2017-09-10T03:07:4000Z;501;-1;;;
2017-09-10T04:45:1300Z;611;-1;;;
2017-09-10T07:36:5300Z;1945;-1;;;
2017-09-10T12:35:5000Z;1029;-1;;;
2017-09-10T14:18:1700Z;434;-1;;;
2017-09-10T14:54:2900Z;2359;-1;;;
2017-09-10T15:08:3200Z;1548;-1;;;
2017-09-10T16:06:4500Z;1908;-1;;;
2017-09-10T16:23:2300Z;1457;-1;;;
2017-09-10T16:34:5800Z;775;-1;;;
2017-09-10T16:53:0200Z;3251;-1;;;
2017-09-10T16:54:1900Z;825;-1;;;
2017-09-10T17:00:2000Z;289;-1;;;
2017-09-10T17:34:3400Z;1339;-1;;;
2017-09-10T18:31:5000Z;3196;-1;;;
2017-09-10T19:03:0800Z;1209;-1;;;
2017-09-10T20:05:5600Z;718;-1;;;
2017-09-10T20:55:3300Z;1845;-1;;;
2017-09-11T15:55:0700Z;825;-1;;;
2017-09-11T19:26:5700Z;392;-1;;;
2017-09-11T20:04:2500Z;676;-1;;;
2017-09-11T20:24:4400Z;660;-1;;;
2017-09-11T23:53:2200Z;566;-1;;;
2017-09-12T00:44:4700Z;834;-1;;;
2017-09-12T12:51:0700Z;2861;-1;;;
2017-09-12T13:26:2500Z;3039;-1;;;
2017-09-12T16:43:0700Z;1993;-1;;;
2017-09-12T17:41:4500Z;3100;-1;;;
2017-09-13T20:00:3400Z;2807;-1;;;
2017-09-13T20:43:4000Z;1209;-1;;;
2017-09-15T19:54:1400Z;1840;-1;;;
2017-09-15T23:01:3300Z;1908;-1;;;
2017-09-16T15:49:4200Z;1908;1908;;;
2017-09-16T18:12:3000Z;544;-1;;;
2017-09-17T03:51:1600Z;2103;-1;;;
2017-09-17T13:37:3600Z;2700;-1;;;
2017-09-17T13:47:4500Z;1945;-1;;;
2017-09-17T21:59:3200Z;3037;-1;;;
2017-09-17T22:01:4200Z;502;-1;;;
2017-09-17T22:05:0000Z;502;502;;;
2017-09-18T21:45:0500Z;159;-1;;;
2017-09-19T07:46:5900Z;3775;-1;;;
2017-09-20T21:52:1200Z;755;-1;;;
2017-09-20T21:53:3800Z;755;755;;;
2017-09-20T23:20:1100Z;592;-1;;;
2017-09-22T20:43:1100Z;971;-1;;;
2017-09-23T15:31:3700Z;3442;-1;;;
2017-09-23T16:11:3800Z;573;-1;;;
2017-09-25T06:41:5900Z;895;-1;;;
2017-09-25T07:19:4000Z;895;895;;;
2017-09-25T09:41:1600Z;781;-1;;;
2017-09-25T15:44:4100Z;1908;-1;;;
2017-09-25T19:44:1100Z;652;-1;;;
2017-09-25T21:56:2300Z;1485;-1;;;
2017-09-26T12:49:0200Z;641;-1;;;
2017-09-26T21:46:2500Z;1209;-1;;;
2017-09-27T09:54:3100Z;2357;-1;;;
2017-09-27T19:07:2200Z;1991;-1;;;
2017-09-28T00:34:5200Z;1209;-1;;;
2017-09-28T05:25:4700Z;917;-1;;;
2017-09-28T08:59:1500Z;3749;-1;;;
2017-09-28T13:34:2700Z;1029;-1;;;
2017-09-28T13:36:2800Z;3605;-1;;;
2017-09-28T14:26:4800Z;268;-1;;;
2017-09-28T16:42:5800Z;1532;-1;;;
2017-09-29T04:05:2800Z;1485;-1;;;
2017-09-30T00:32:4900Z;79;-1;;;
